epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.223,1.1944,1.4037,1.21736,0.64139,0.54695,0.60959,0.44883,1.0775,1.12352,1.12569,8.33e-06,8.33e-06,8.33e-06
2,216.944,1.144,1.38419,1.19103,0.65452,0.56253,0.6268,0.46527,1.06723,1.09743,1.11991,1.60829e-05,1.60829e-05,1.60829e-05
3,317.889,1.16496,1.3899,1.19487,0.67549,0.56761,0.63414,0.4727,1.06259,1.08032,1.11618,2.19507e-05,2.19507e-05,2.19507e-05
4,420.567,1.12999,1.22256,1.18069,0.68481,0.58003,0.65332,0.48996,1.05633,1.05406,1.11454,2.59337e-05,2.59337e-05,2.59337e-05
5,508.016,1.10483,1.24021,1.17359,0.65167,0.6157,0.6629,0.4967,1.0505,1.02918,1.10848,2.80316e-05,2.80316e-05,2.80316e-05
6,623.678,1.11245,1.22408,1.1701,0.6717,0.6375,0.67504,0.50492,1.03875,1.00702,1.10108,2.82447e-05,2.82447e-05,2.82447e-05
7,703.629,1.06832,1.15866,1.13516,0.68349,0.61583,0.68052,0.51097,1.03367,0.9893,1.098,2.65727e-05,2.65727e-05,2.65727e-05
8,780.674,1.09273,1.19798,1.16347,0.68442,0.62887,0.69526,0.51836,1.02573,0.97423,1.09184,2.30158e-05,2.30158e-05,2.30158e-05
9,862.992,1.10431,1.10386,1.15081,0.6822,0.63234,0.69892,0.5229,1.02201,0.9636,1.08985,1.75739e-05,1.75739e-05,1.75739e-05
10,942.732,1.06245,1.12394,1.12905,0.68662,0.63125,0.69947,0.52445,1.01968,0.96076,1.08792,1.02471e-05,1.02471e-05,1.02471e-05
